@relation dataset

@attribute Localisation {'Mozart à              Tanger','Moujahidine à              Tanger','Malabata à              Tanger',Tanger,'Centre à              Tanger','Administratif à              Tanger','Iberie à              Tanger','Boukhalef à              Tanger','Marjane à              Tanger','Msala à              Tanger','Zouitina à              Tanger','Route Nationale Assilah (N1) à              Tanger','Castilla à              Tanger','Tanger City Center à              Tanger','De La Plage à              Tanger','Jbel Kbir à              Tanger','Bella Vista à              Tanger','Ennasr à              Tanger','El Majd à              Tanger','Rmilat à              Tanger','Aouama Gharbia à              Tanger','Mesnana à              Tanger','Médina à              Tanger','Casabarata à              Tanger','Achakar à              Tanger','Californie à              Tanger','Marchan à              Tanger','Bel Air - Val fleuri à              Tanger','Beni Said à              Tanger','Jirrari à              Tanger','Aharrarine à              Tanger','Tanja Balia à              Tanger','Mghogha à              Tanger','Laaouina à              Tanger','Branes 2 à              Tanger','Charf à              Tanger','manar à              Tanger','Tanger Medina à              Tanger','Charf Mghougha à              Tanger','Du Golf à              Tanger','Hay Hassani à              Tanger','Nzaha à              Tanger','Ahlane à              Tanger','Lalla Chafia à              Tanger','Ain El Hayani à              Tanger','Zone Industrielle Mghogha à              Tanger','Cap Spartel à              Tanger','Hay Zaoudia à              Tanger','Drissia à              Tanger','Branes 1 à              Tanger','Al Warda à              Tanger','Hanaa 3 - Soussi à              Tanger','Beni Touzine à              Tanger','Zemmouri à              Tanger','Achennad à              Tanger','Port Tanger ville à              Tanger','Dher Lahmam à              Tanger','El Mers 1 à              Tanger','Al Anbar à              Tanger','Azib Haj Kaddour à              Tanger','Gourziana à              Tanger','Draoua à              Tanger','El Baraka à              Tanger','Sania à              Tanger','Star Hill à              Tanger','Charf Souani à              Tanger'}
@attribute Price numeric
@attribute Size numeric

@data
'Centre à              Tanger',6500,210
'Route Nationale Assilah (N1) à              Tanger',3000,51
'Mozart à              Tanger',7400,98
'Iberie à              Tanger',5600,80
'Boukhalef à              Tanger',2500,60
'Boukhalef à              Tanger',2500,50
Tanger,8000,170
Tanger,6500,110
'Malabata à              Tanger',7300,120
'Route Nationale Assilah (N1) à              Tanger',3000,70
'Tanger City Center à              Tanger',9000,90
'Centre à              Tanger',4000,80
'Centre à              Tanger',7000,120
'Centre à              Tanger',5500,120
'De La Plage à              Tanger',6000,50
'Iberie à              Tanger',11500,180
'Administratif à              Tanger',6500,105
Tanger,6000,80
'Malabata à              Tanger',11000,92
'Administratif à              Tanger',6800,70
'Iberie à              Tanger',9000,135
'Tanger City Center à              Tanger',20000,150
'Médina à              Tanger',5500,100
'Centre à              Tanger',10000,100
'Tanger City Center à              Tanger',12000,130
'Mozart à              Tanger',6000,100
'Iberie à              Tanger',13000,150
'Bella Vista à              Tanger',30000,1000
'Administratif à              Tanger',7000,100
'De La Plage à              Tanger',9000,100
'Malabata à              Tanger',10000,130
Tanger,7500,122
'De La Plage à              Tanger',5500,100
'De La Plage à              Tanger',13000,120
'Marchan à              Tanger',4500,80
'De La Plage à              Tanger',6500,127
'De La Plage à              Tanger',9000,113
'Centre à              Tanger',7000,116
'Centre à              Tanger',9000,125
'Centre à              Tanger',9000,100
'Centre à              Tanger',14500,160
'De La Plage à              Tanger',9000,100
'Jirrari à              Tanger',1400,48
'Médina à              Tanger',5000,80
'Charf à              Tanger',5000,90
'Tanja Balia à              Tanger',4000,68
'Castilla à              Tanger',5000,85
'Marjane à              Tanger',5000,80
'Administratif à              Tanger',4000,85
'Iberie à              Tanger',13000,140
'Route Nationale Assilah (N1) à              Tanger',5000,70
'Bella Vista à              Tanger',13000,140
'Mozart à              Tanger',12000,355
'Iberie à              Tanger',6000,90
'Malabata à              Tanger',8000,75
'Castilla à              Tanger',4450,83
'Moujahidine à              Tanger',6200,100
'Mozart à              Tanger',6800,100
Tanger,11000,75
Tanger,4500,70
Tanger,4000,80
'Malabata à              Tanger',7000,100
'Centre à              Tanger',2900,61
'Iberie à              Tanger',5200,60
'El Majd à              Tanger',2800,70
'Malabata à              Tanger',11000,120
'Administratif à              Tanger',12000,150
'De La Plage à              Tanger',8500,118
'Malabata à              Tanger',14000,147
'Centre à              Tanger',6000,70
'Administratif à              Tanger',12000,161
'Malabata à              Tanger',11000,90
'manar à              Tanger',4200,90
'Moujahidine à              Tanger',630000,73
'Administratif à              Tanger',4500,130
'Mesnana à              Tanger',3500,100
'De La Plage à              Tanger',9500,105
'Iberie à              Tanger',14000,165
'Route Nationale Assilah (N1) à              Tanger',3000,47
'Route Nationale Assilah (N1) à              Tanger',2800,50
'Administratif à              Tanger',6000,130
'Malabata à              Tanger',10400,86
'Tanger Medina à              Tanger',7000,100
'Charf Mghougha à              Tanger',6000,65
'Charf Mghougha à              Tanger',6500,70
'Malabata à              Tanger',9500,100
'Du Golf à              Tanger',19000,200
'Malabata à              Tanger',15000,120
'De La Plage à              Tanger',2500,40
'Route Nationale Assilah (N1) à              Tanger',5000,70
'Marchan à              Tanger',7400,130
'Mesnana à              Tanger',3000,90
'Centre à              Tanger',3700,90
'Administratif à              Tanger',8000,164
'Malabata à              Tanger',7500,92
'Centre à              Tanger',10000,143
'Mozart à              Tanger',10000,175
'Centre à              Tanger',7000,100
'Centre à              Tanger',8500,110
'Administratif à              Tanger',4500,120
'Iberie à              Tanger',6500,75
'Marjane à              Tanger',4280,85
'Marjane à              Tanger',3500,73
'De La Plage à              Tanger',15000,135
'Centre à              Tanger',7500,120
'Iberie à              Tanger',13000,175
'Mozart à              Tanger',9000,136
'Hay Hassani à              Tanger',2800,60
'De La Plage à              Tanger',6000,130
'Boukhalef à              Tanger',3000,60
'Centre à              Tanger',5500,75
Tanger,13000,140
'Iberie à              Tanger',7500,100
'Administratif à              Tanger',7000,120
'Malabata à              Tanger',7000,95
'Centre à              Tanger',800,70
'Mghogha à              Tanger',2500,65
'Centre à              Tanger',5000,65
'Tanja Balia à              Tanger',1400,45
'Tanja Balia à              Tanger',1300,55
'Tanja Balia à              Tanger',2000,80
'Nzaha à              Tanger',3500,100
'De La Plage à              Tanger',5500,55
'Bel Air - Val fleuri à              Tanger',5000,110
'Marchan à              Tanger',6500,98
'Marchan à              Tanger',6500,98
'Charf Mghougha à              Tanger',9000,89
'Malabata à              Tanger',4500,59
'Médina à              Tanger',5500,102
'De La Plage à              Tanger',9000,80
'Malabata à              Tanger',12000,128
'Centre à              Tanger',4500,102
'De La Plage à              Tanger',7000,130
'Tanger City Center à              Tanger',7500,130
'Marchan à              Tanger',6000,98
'Iberie à              Tanger',7500,130
'Marchan à              Tanger',7200,120
'Centre à              Tanger',8000,80
'Malabata à              Tanger',7900,80
'Hay Hassani à              Tanger',2800,97
'Tanger City Center à              Tanger',4000,50
'De La Plage à              Tanger',8500,98
'De La Plage à              Tanger',5500,100
'Jirrari à              Tanger',3800,105
'Administratif à              Tanger',5800,100
'Route Nationale Assilah (N1) à              Tanger',3500,63
'Malabata à              Tanger',7500,102
'Administratif à              Tanger',6500,130
'Malabata à              Tanger',7000,130
'De La Plage à              Tanger',8500,100
'Centre à              Tanger',7500,94
